message,action
Forward John's email,refer previous message
Resend last week's notes,refer previous message
Share yesterday's details,refer previous message
Send previous discussion,refer previous message
Pass along earlier memo,refer previous message
Recirculate March report,refer previous message
Resend meeting minutes,refer previous message
Forward client's request,refer previous message
Share archived proposal,refer previous message
Send prior instructions,refer previous message
Pass on old thread,refer previous message
Resend May's update,refer previous message
Hey did you see the movie last night? The link was shared earlier!,refer previous message
Just a reminder about the meeting. The details were in the previous email.,refer previous message
Don't forget to pick up groceries. I sent you the list yesterday.,refer previous message
Please review the document I sent last week. Your feedback is needed.,refer previous message
Your invoice is due soon. The details were in the last message.,refer previous message
I sent you the recipe before. Let me know how it turns out!,refer previous message
As mentioned earlierthe deadline is Friday. Don’t forget!,refer previous message
The party details are in my previous text. Check it out!,refer previous message
Can you check the report I shared last week? Thanks!,refer previous message
Your appointment confirmation was sent earlier. Please check.,refer previous message
I shared that song with you already. Let me know if you liked it!,refer previous message
I attached the presentation in my last email. Please look it over.,refer previous message
The holiday plans are in my last message. Don’t miss them!,refer previous message
Remember the budget discussion was in last week’s notes.,refer previous message
We sent you a reminder about the event last month. Did you see it?,refer previous message
The game scores are in the chat history. Check it out!,refer previous message
Don’t forget to review the last few messages about the project.,refer previous message
I sent the travel itinerary last week. Please confirm you got it!,refer previous message
The feedback on your project was in my last email. Let me know if you saw it.,refer previous message
The job description was sent out last week. Please refer to that.,refer previous message
Did you check the concert details I sent you earlier?,refer previous message
I attached the files again; they were in my previous email too.,refer previous message
I already sent the photos from our trip. Did you receive them?,refer previous message
The client notes were in the last meeting summary I shared.,refer previous message
We’ve sent multiple reminders about the survey. Please take a look.,refer previous message
Could you please forward the email John sent last Tuesday about the budget revisions to the team?,refer previous message
I need you to resend the meeting minutes from our June 15th discussion to all new team members.,refer previous message
Please share the client's original request from March that contains all their specific requirements with the designers.,refer previous message
Would you mind forwarding the email thread from two weeks ago where we discussed the timeline changes?,refer previous message
Can you send the project proposal we received in January to the new stakeholders for their reference?,refer previous message
Please pass along the safety guidelines document that was circulated last quarter to all new hires.,refer previous message
I need you to forward the vendor's price quote from last month to the procurement department.,refer previous message
Could you resend the technical specifications we received in April that contain all the product details?,refer previous message
Please share the archived email from HR that explains the new benefits package with your team.,refer previous message
Would you forward the client feedback we got after the last product launch to marketing?,refer previous message
Can you send me again the instructions you shared last week about the reporting process?,refer previous message
Please circulate the approved budget document from our November meeting to all department heads.,refer previous message
I need you to forward the original contract terms we agreed to back in February.,refer previous message
Could you resend the training materials from the onboarding session last month to the new intern?,refer previous message
Please share the quality assurance report from Q1 that contains all the test results with engineering.,refer previous message
Forward to the team,forward information
Share with stakeholders,forward information
Send this to HR,forward information
Pass along to IT,forward information
Circulate to management,forward information
Distribute to all,forward information
Copy the department,forward information
Route to legal,forward information
Forward to vendors,forward information
Share with clients,forward information
Send to finance,forward information
Pass to marketing,forward information
Hey! Can you share this document with the team?,forward information
I found this video that explains the project well. Please send it to the group.,forward information
My doctor sent me these health tips. Forward them to your family.,forward information
I received a photo of our last trip. Share it with everyone!,forward information
Here’s a great article on our industry trends. Please pass it to your boss.,forward information
Check out this presentation. Can you share it with your colleagues?,forward information
I got this recipe video from my friend. Forward it to your family!,forward information
This infographic on stress management is helpful. Please share it at work.,forward information
I received a funny meme. Can you send it to the group chat?,forward information
Here's a link to a webinar recording. Share it with anyone interested.,forward information
This discount offer is great! Forward it to our friends.,forward information
I got this useful document from HR. Please share it with your team.,forward information
Check out this health app. Share it with your doctor!,forward information
I found this inspiring video. Can you send it to our family chat?,forward information
I received a cool DIY project guide. Share it with your friends!,forward information
This news article is important. Please forward it to your manager.,forward information
I got some beautiful photos from the event. Share them with everyone!,forward information
Here’s a playlist I loved. Please share it with your coworkers.,forward information
I received an invitation to a webinar. Can you pass it on?,forward information
Here’s an article on financial tips. Forward it to anyone who might benefit.,forward information
I found a great tutorial video. Can you send it to our study group?,forward information
I got a reminder about the upcoming meeting. Share it with the team!,forward information
This inspirational quote is powerful. Please send it to your friends.,forward information
I received a fun video challenge. Forward it to our group!,forward information
Here’s an amazing travel guide. Please share it with anyone planning a trip.,forward information
Please forward this email to the entire development team so they're aware of the new requirements.,forward information
Could you share this document with all stakeholders for review before we proceed with implementation?,forward information
I need you to send this memo to the HR department for their records and appropriate action.,forward information
Please circulate this announcement to all managers so they can communicate it to their teams.,forward information
Would you mind forwarding this report to the finance team for their analysis and feedback?,forward information
Kindly distribute this policy update to all employees so everyone is informed of the changes.,forward information
Please pass this along to the IT department as they need to address the technical issues mentioned.,forward information
I'd appreciate if you could share this presentation with the client for their review and approval.,forward information
Could you send this contract to legal for their review before we sign anything official?,forward information
Please forward these instructions to all new hires so they're prepared for orientation next week.,forward information
Would you circulate this schedule to the entire project team so everyone knows the deadlines?,forward information
Kindly share this feedback with the product team so they can incorporate the suggestions.,forward information
Please send this safety alert to all facility staff immediately as it requires urgent attention.,forward information
Could you forward this meeting summary to everyone who couldn't attend so they're up to date?,forward information
I need you to distribute these guidelines to all contractors working on the site this month.,forward information
Cancel our meeting,cancel appointment
Call off tomorrow's session,cancel appointment
Scrap the appointment,cancel appointment
Abort the conference,cancel appointment
Terminate scheduled call,cancel appointment
Drop the interview,cancel appointment
Remove calendar event,cancel appointment
Delete the booking,cancel appointment
Nix the lunch,cancel appointment
Withdraw from appointment,cancel appointment
Forget our meeting,cancel appointment
Erase the schedule,cancel appointment
We need to cancel tomorrow's 10 AM meeting. I'll let you know when it's rescheduled.,cancel appointment
The 2 PM meeting is canceled. Let's reschedule for next week.,cancel appointment
"Sorry, I can't make it for coffee on Tuesday. Can we meet another time?",cancel appointment
The dentist canceled Friday's appointment. I'll let you know the new time.,cancel appointment
Your check-up on Monday has been canceled. Please contact us to reschedule.,cancel appointment
Your car service appointment on Saturday is canceled. Call to book a new time.,cancel appointment
The 1 PM meeting is canceled. I'll send a new invite later today.,cancel appointment
We need to cancel our 4 PM call. Can we do it tomorrow morning instead?,cancel appointment
My doctor's appointment at 2 PM was canceled. I'll reschedule and let you know.,cancel appointment
Your delivery for Friday has been canceled. We'll update you soon.,cancel appointment
"Sorry, I can't meet at 7 PM on Saturday. Can we try another day?",cancel appointment
The Thursday 3 PM meeting is canceled. Stay tuned for a new time.,cancel appointment
Your appointment on April 10th at 9 AM has been canceled. Please call to reschedule.,cancel appointment
Your appointment for 6 PM tomorrow has been canceled.,cancel appointment
The 11 AM team meeting is canceled. We'll let you know the new time.,cancel appointment
Can you cancel my 3 PM appointment for Wednesday? I can't make it.,cancel appointment
Your July 5th appointment at 10 AM is canceled. Contact us for a new date.,cancel appointment
I have to cancel dinner at 8 PM this Friday. Let's plan for another day.,cancel appointment
