component,powertrain,size,euro_class,value
Benzene,BEV,9m,1,0.0
Lead,ICEV-g,13m-city-double,5,0.0
Lead,ICEV-g,13m-city-double,4,0.0
Lead,ICEV-g,13m-city-double,3,0.0
Lead,ICEV-g,13m-city-double,2,0.0
Lead,ICEV-g,9m,6,0.0
Lead,ICEV-g,9m,5,0.0
Lead,ICEV-g,9m,4,0.0
Lead,ICEV-g,9m,3,0.0
Lead,ICEV-g,9m,2,0.0
Lead,ICEV-d,9m,3,0.0
Lead,ICEV-d,13m-city-double,3,0.0
Lead,ICEV-d,13m-city,3,0.0
Lead,ICEV-d,13m-city,2,0.0
Lead,ICEV-d,13m-city,1,0.0
Lead,ICEV-g,13m-city-double,6,0.0
Lead,ICEV-d,13m-city,0,0.0
Benzene,ICEV-g,13m-city,5,0.0
Benzene,ICEV-g,13m-city,4,0.0
Benzene,ICEV-g,13m-city,3,0.0
Benzene,ICEV-g,13m-city,2,0.0
Lead,ICEV-g,13m-city,6,0.0
Lead,ICEV-g,13m-city,5,0.0
Lead,ICEV-d,18m,6,0.0
Lead,ICEV-g,13m-city,4,0.0
Lead,ICEV-g,13m-city,3,0.0
Lead,ICEV-g,13m-city,2,0.0
Lead,ICEV-d,9m,4,0.0
Lead,ICEV-d,13m-city-double,4,0.0
Lead,ICEV-d,13m-city-double,6,0.0
Lead,ICEV-d,9m,6,0.0
Benzene,ICEV-g,13m-city,6,0.0
Lead,ICEV-d,18m,2,0.0
Benzene,ICEV-g,9m,2,0.0
Benzene,ICEV-g,9m,4,0.0
Lead,ICEV-d,18m,1,0.0
Lead,ICEV-d,13m-city-double,0,0.0
Lead,ICEV-d,9m,0,0.0
Lead,ICEV-d,18m,0,0.0
Benzene,ICEV-g,18m,6,0.0
Benzene,ICEV-g,18m,5,0.0
Lead,ICEV-d,9m,1,0.0
Lead,ICEV-d,18m,4,0.0
Lead,ICEV-d,13m-city-double,1,0.0
Benzene,ICEV-g,18m,4,0.0
Benzene,ICEV-g,18m,3,0.0
Benzene,ICEV-g,18m,2,0.0
Lead,ICEV-g,18m,6,0.0
Lead,ICEV-g,18m,5,0.0
Benzene,ICEV-g,9m,3,0.0
Lead,ICEV-g,18m,4,0.0
Lead,ICEV-g,18m,2,0.0
Lead,ICEV-d,13m-city,6,0.0
Lead,ICEV-d,9m,2,0.0
Lead,ICEV-d,13m-city-double,2,0.0
Lead,ICEV-d,13m-city,5,0.0
Lead,ICEV-d,13m-city,4,0.0
Lead,ICEV-d,18m,5,0.0
Benzene,ICEV-g,13m-city-double,6,0.0
Benzene,ICEV-g,13m-city-double,5,0.0
Benzene,ICEV-g,13m-city-double,4,0.0
Benzene,ICEV-g,13m-city-double,3,0.0
Benzene,ICEV-g,13m-city-double,2,0.0
Benzene,ICEV-g,9m,6,0.0
Benzene,ICEV-g,9m,5,0.0
Lead,ICEV-g,18m,3,0.0
Lead,ICEV-d,13m-city-double,5,0.0
Lead,ICEV-d,9m,5,0.0
Lead,ICEV-g,13m-coach,2,0.0
Cadmium,ICEV-d,9m,1,0.0
Mercury,ICEV-d,9m,1,0.0
Chromium VI,ICEV-d,9m,1,0.0
Chromium,ICEV-d,9m,1,0.0
Nickel,ICEV-d,9m,1,0.0
Copper,ICEV-d,9m,1,0.0
Zinc,ICEV-d,9m,1,0.0
Selenium,ICEV-d,9m,1,0.0
Arsenic,ICEV-d,9m,1,0.0
PAH polycyclic aromatic hydrocarbons,ICEV-d,9m,1,0.0
Styrene,ICEV-d,9m,1,0.0
Acrolein,ICEV-d,9m,1,0.0
Methyl ethyl ketone,ICEV-d,9m,1,0.0
Acetone,ICEV-d,9m,1,0.0
